档案号,题名,日期
0340-0002-00456·0300-999·046,国立中央大学xxx关于尚未收到第0043、0924号快信致东川邮政管理局的函,
0340-0002-00480·0200-193·000,国立中央大学分校主任办公室关于无法查明寄郾师三民主义青年团收小包致东川邮政管理局的函,
0340-0002-00513·0200-346·000,东川邮政管理局关于准予《文史哲季刊》及《社会科学季刊》变更登记国立中央大学出版社的公函,
0340-0002-00513·0200-348·000,国立中央大学关于请将执照寄送至内政部登记致东川邮政管理局的函,
0340-0002-00520·0100-001·000,东川邮政管理局、国立中央大学出版社关于变更登记《文史哲季刊》的函,
0340-0002-00520·0100-019·000,东川邮政管理局关于更正《文史哲季刊》、《社会科学季刊》新闻纸类登记执照致国立中央大学出版社的公函,
0340-0002-00520·0100-028·000,国立中央大学出版组关于请更改《文史哲季刊》、《社会科学季刊》新闻纸类登记执照申请人姓名致东川邮政管理局的函,
0340-0002-00520·0100-294·000,国立中央大学关于补送《文史哲季刊》样刊致东川邮政管理局的函,
0340-0002-00520·0100-331·000,国立中央大学关于填送本校刊物新闻纸类登记申请书并补送样本致东川邮政管理局的函,
0340-0007-00003·0000-435·000,东川邮政管理局、国立中央大学关于改汇重庆航委会经理处寄交陈冠康等奖金汇票至石牌邮局兑付的往来函,
0340-0009-00012·0100-235·000,国立中央大学办公室、东川邮政管理局关于兑付第4450号汇票的往来函,
0342-0001-00017·0100-027·,关于请将汇票存根寄至沙坪坝邮局致北碚邮政储金汇业局的函,19xx1118
0342-0001-00343·0000-083·,关于请赐给刘聚投考国立第二中学校、国立中央大学底数中学校投考证明致该校的函,19450730
0344-0001-00032·0000-004·,关于参观交通部重庆电话局的函,19390117
0344-0001-00032·0000-064·,关于欢迎学生于1941年2月27日及3月5、6两日参观致国立中央大学工学院的函,19430212
0344-0001-00032·0000-065·,关于请惠予指导学生于1943年2月37日参观电话局及3月5、6日参观电报局致交通部重庆电话局的函,19xx0202
0344-0001-00456·0000-066·,关于请为刘功樊、程恒茂分配工作致交通部重庆电信局的函,19450919
0344-0001-00490·0000-051·,关于请任用电机工程系毕业生李嗣范致交通部电信总局的函,19xx0829
0344-0001-00498·0000-127·,关于请任用曾垂礼为思想史致交通部电信总局的函,19xxxx
0344-0001-00498·0000-128·,关于请任用谢纯德来渝实习致交通部重庆电信局的函,19450826
0344-0001-01456·0000-019·,关于请惠予试验2.6公里径铜包线抗拉结果致国立中央大学的函,19360426
0344-0001-01620·0000-033·,关于检送钢包铜线并请测验拉力致国立中央大学材料试验室的函,19421020
